target_r,stage,prefix,J_k,D_k,R_k
0.01,linear,62,2.8288511122765256e-17,3.486188559755183e-18,8.114452399198916
0.01,linear,63,2.900061503976457e-17,3.5446980365417715e-18,8.181406354166558
0.01,linear,64,2.971554599722183e-17,3.6032165172729206e-18,8.246949872363462
0.01,bf16,1,4.596481977843094e-20,4.596481977843094e-20,1.0
0.01,bf16,2,7.832384219364368e-20,9.292830162428684e-20,0.8428416405403639
0.01,bf16,3,1.1939292382103955e-19,1.4051967596406233e-19,0.8496527123473733
0.01,bf16,4,1.786225140689358e-19,1.8982808168831953e-19,0.9409699159380315
0.01,bf16,5,2.5434440676012425e-19,2.403071806881353e-19,1.0584136771601766
0.01,bf16,6,3.4784987627194707e-19,2.921388421948187e-19,1.190700536972678
0.01,bf16,7,4.595719078841547e-19,3.4476684814985995e-19,1.3329933267957144
0.01,bf16,8,5.904322979395702e-19,3.9854093156231834e-19,1.4814847138160174
0.01,bf16,9,7.400613639341652e-19,4.527044651890715e-19,1.6347560513349024
0.01,bf16,10,9.101515375134653e-19,5.083191882170721e-19,1.7905118646136868
0.01,bf16,11,1.0996651913837746e-18,5.643843196980702e-19,1.9484332803081148
0.01,bf16,12,1.309534700630582e-18,6.216796057400652e-19,2.106446292494467
0.01,bf16,13,1.5395248774376691e-18,6.798235721203987e-19,2.2645947280642615
0.01,bf16,14,1.788370115936615e-18,7.3811475247621875e-19,2.4228890019295943
0.01,bf16,15,2.056277000738276e-18,7.968360467372388e-19,2.580552184050912
0.01,bf16,16,2.344103769910257e-18,8.564136667530153e-19,2.737116256910789
0.01,bf16,17,2.6506904819072946e-18,9.166272982918875e-19,2.8917865383747476
0.01,bf16,18,2.975126275790578e-18,9.770746416924006e-19,3.044932443070401
0.01,bf16,19,3.3172478682807038e-18,1.0374313774827986e-18,3.1975588364500824
0.01,bf16,20,3.67748776451185e-18,1.099157381962402e-18,3.3457335817971536
0.01,bf16,21,4.054954860610871e-18,1.1608509695675817e-18,3.4930882317489442
0.01,bf16,22,4.448701817144194e-18,1.2226596019704921e-18,3.6385448656146564
0.01,bf16,23,4.857585255481896e-18,1.284148227565023e-18,3.78272940086734
0.01,bf16,24,5.2816495337837866e-18,1.3459572398604103e-18,3.9240841962643245
0.01,bf16,25,5.720331196256633e-18,1.4076910184350677e-18,4.063626975908345
0.01,bf16,26,6.174822876466751e-18,1.4702640599857908e-18,4.199805357771194
0.01,bf16,27,6.640812075803166e-18,1.5313450063792234e-18,4.336587802316985
0.01,bf16,28,7.120158333310604e-18,1.5928306877971576e-18,4.470128801421822
0.01,bf16,29,7.612885111313682e-18,1.654668135124539e-18,4.600853155814653
0.01,bf16,30,8.118669330034364e-18,1.7167178567440342e-18,4.729180918192588
0.01,bf16,31,8.635841240638691e-18,1.7788251725182095e-18,4.854800445854544
0.01,bf16,32,9.16439541060331e-18,1.8410251778497313e-18,4.977876196841089
0.01,bf16,33,9.704454216510019e-18,1.90317642044947e-18,5.099082834484747
0.01,bf16,34,1.0253989756798508e-17,1.9650541455879634e-18,5.218171611108667
0.01,bf16,35,1.0814859690467674e-17,2.0271831465462618e-18,5.334919890634001
0.01,bf16,36,1.1384497742216254e-17,2.0896256110598202e-18,5.4481040440743085
0.01,bf16,37,1.1963178937639702e-17,2.151751283359533e-18,5.559740584405076
0.01,bf16,38,1.2550569767006859e-17,2.2138111195802462e-18,5.669214349861307
0.01,bf16,39,1.3147830369937265e-17,2.2763431261722757e-18,5.7758561171072875
0.01,bf16,40,1.375189165404318e-17,2.3381562506107965e-18,5.881510977057574
0.01,bf16,41,1.43631725371606e-17,2.400031064925793e-18,5.984577761123561
0.01,bf16,42,1.4982422472371158e-17,2.4616997557569204e-18,6.086210325744775
0.01,bf16,43,1.560855417433914e-17,2.5231491004148126e-18,6.186140237123938
0.01,bf16,44,1.6241117299842448e-17,2.5844772935246427e-18,6.284101369562909
0.01,bf16,45,1.6880685282849377e-17,2.6460562863701365e-18,6.379563945711194
0.01,bf16,46,1.7526608296696974e-17,2.707562757581314e-18,6.473204821429005
0.01,bf16,47,1.817722125287646e-17,2.7688210119559435e-18,6.564967968094027
0.01,bf16,48,1.8832917920202693e-17,2.8299739558064162e-18,6.654802558010168
0.01,bf16,49,1.9494677765318358e-17,2.8910405034434527e-18,6.743135470464247
0.01,bf16,50,2.0160863232515498e-17,2.9520004547743034e-18,6.829559663484844
0.01,bf16,51,2.083267119361314e-17,3.012929355530311e-18,6.914424048932387
0.01,bf16,52,2.150941576220955e-17,3.074037461737467e-18,6.997122198391258
0.01,bf16,53,2.219028921908207e-17,3.134915764710677e-18,7.078432367744982
0.01,bf16,54,2.2874794506403993e-17,3.1958761510938428e-18,7.157597298811065
0.01,bf16,55,2.3563436491912087e-17,3.2565721059258175e-18,7.235656305301795
0.01,bf16,56,2.4256076817566316e-17,3.317417527770437e-18,7.3117346895638695
0.01,bf16,57,2.4952539087746772e-17,3.3781038205073826e-18,7.386551868615738
0.01,bf16,58,2.5652717956717938e-17,3.4387502504881383e-18,7.45989562721994
0.01,bf16,59,2.6355265677583287e-17,3.499304051128905e-18,7.5315735050461985
0.01,bf16,60,2.7061284149984883e-17,3.5599426508241044e-18,7.601606768502399
0.01,bf16,61,2.777017457842497e-17,3.620538258922008e-18,7.670178463103263
0.01,bf16,62,2.8482142093555706e-17,3.6809789418128756e-18,7.737654179441815
0.01,bf16,63,2.9195986461364593e-17,3.7412829329185305e-18,7.803736575086865
0.01,bf16,64,2.9912286458167596e-17,3.801837734143062e-18,7.867849327059682
0.01,norm,1,2.1591487476393374e-12,2.1591487476393374e-12,1.0
0.01,norm,2,4.1027027454863955e-12,4.8526277375079915e-12,0.8454600203050583
0.01,norm,3,6.2470672889168845e-12,7.406848966686059e-12,0.8434176688379162
0.01,norm,4,9.222242451233742e-12,9.914874906309124e-12,0.9301420883651653
0.01,norm,5,1.277478364480137e-11,1.2232045666593714e-11,1.044370172659664
0.01,norm,6,1.6287302245113955e-11,1.3993504869536368e-11,1.163918717788218
0.01,norm,7,2.042255277456764e-11,1.5708916802403084e-11,1.300061171082368
0.01,norm,8,2.451192969515483e-11,1.7113239696048596e-11,1.4323371921690884
0.01,norm,9,2.951975438718133e-11,1.8719176226978742e-11,1.576979351507809
0.01,norm,10,3.397460353806606e-11,1.9893479703605368e-11,1.7078260839358697
0.01,norm,11,3.892490312467294e-11,2.1098857441463242e-11,1.844882038407357
0.01,norm,12,4.345029040290834e-11,2.2021932528477007e-11,1.9730462050377227
0.01,norm,13,4.7895708450538184e-11,2.284467721754503e-11,2.09658066053801
0.01,norm,14,5.2907375701061966e-11,2.3759571278877505e-11,2.226781581202063
0.01,norm,15,5.7962471272995165e-11,2.4634438585133057e-11,2.3529040888301656
0.01,norm,16,6.281864328307648e-11,2.5407209831339622e-11,2.4724731168862983
0.01,norm,17,6.776138375055689e-11,2.6159141606326176e-11,2.590351960714562
0.01,norm,18,7.287296633618154e-11,2.6914390967029743e-11,2.707583702170756
0.01,norm,19,7.842127372033818e-11,2.7735857483243362e-11,2.8274328193284255
0.01,norm,20,8.317167039996856e-11,2.835146148323609e-11,2.9335937566797767
0.01,norm,21,8.837783752187299e-11,2.9034758347141885e-11,3.0438633745533723
0.01,norm,22,9.365221875733567e-11,2.971253080743233e-11,3.151943513808975
0.01,norm,23,9.942214169701926e-11,3.04712967993476e-11,3.262812946613678
0.01,norm,24,1.051428992928692e-10,3.1198124105786787e-11,3.3701673516122326
0.01,norm,25,1.1111085705955633e-10,3.195070288456115e-11,3.4775716033854778
0.01,norm,26,1.1674203083079878e-10,3.2612765445064694e-11,3.5796421811406183
0.01,norm,27,1.238017741110848e-10,3.3533924898235953e-11,3.691836684395908
0.01,norm,28,1.3065494853478904e-10,3.4391434526277274e-11,3.799054919763822
0.01,norm,29,1.3736720683373466e-10,3.5192438171106254e-11,3.9033159954946255
0.01,norm,30,1.4434617491000398e-10,3.601672575517943e-11,4.007753949961598
0.01,norm,31,1.5149875846331344e-10,3.685078956523602e-11,4.111140093623205
0.01,norm,32,1.5851600544716466e-10,3.763718949536829e-11,4.21168550501551
0.01,norm,33,1.6581667179957075e-10,3.84513302709895e-11,4.3123780277811345
0.01,norm,34,1.7367994465615451e-10,3.9349490582913294e-11,4.413778732159025
0.01,norm,35,1.8131469641155747e-10,4.0184941240616784e-11,4.512006010557365
0.01,norm,36,1.889468031463494e-10,4.10035445083234e-11,4.608060239962783
0.01,norm,37,1.9680297217166378e-10,4.1838520080785735e-11,4.703870304008319
0.01,norm,38,2.0487021481813228e-10,4.2693095262120236e-11,4.798673264618152
0.01,norm,39,2.1270744519491405e-10,4.3493105136436824e-11,4.89060149942516
0.01,norm,40,2.214343144494882e-10,4.442460573869038e-11,4.9844970094272805
0.01,norm,41,2.3058735201455636e-10,4.561047646589388e-11,5.055578671426126
0.01,norm,42,2.3990475682058757e-10,4.660495164037663e-11,5.147623769074869
0.01,norm,43,2.4985432964018323e-10,4.769468548111269e-11,5.238619924207838
0.01,norm,44,2.602285699297775e-10,4.8844960325012346e-11,5.3276442072678
0.01,norm,45,2.703743161087342e-10,4.9907506429592406e-11,5.417508015355724
0.01,norm,46,2.806223123738098e-10,5.0957590949430827e-11,5.506977609131741
0.01,norm,47,2.9164690233855107e-10,5.2136420737624994e-11,5.593918765660105
0.01,norm,48,3.0301203714571084e-10,5.33584968245458e-11,5.678796352567418
0.01,norm,49,3.1488022258039127e-10,5.464406773960836e-11,5.762386213282446
0.01,norm,50,3.2721969010333843e-10,5.598609551899367e-11,5.844659947617295
0.01,norm,51,3.399564832040458e-10,5.7367434343675834e-11,5.925948878373057
0.01,norm,52,3.5246280969382845e-10,5.871728835717331e-11,6.0027092455261375
0.01,norm,53,3.6586091858563626e-10,6.019578594865398e-11,6.077849351409908
0.01,norm,54,3.789116150751091e-10,6.153097799453622e-11,6.158062612116378
0.01,norm,55,3.932343974766124e-10,6.307180859796875e-11,6.23470939264102
0.01,norm,56,4.0702699256718225e-10,6.447852911837924e-11,6.312597358105079
0.01,norm,57,4.21980231887636e-10,6.606147213649075e-11,6.3876904077428875
0.01,norm,58,4.372080072100733e-10,6.765978142937226e-11,6.461859585911607
0.01,norm,59,4.5280118969699537e-10,6.928448295318167e-11,6.535391048569584
0.01,norm,60,4.684616537453618e-10,7.088427200243725e-11,6.608823657372886
0.01,norm,61,4.843891953097835e-10,7.249429845463094e-11,6.6817557468043995
0.01,norm,62,5.00972064432469e-10,7.418164202605991e-11,6.753315924935689
0.01,norm,63,5.185961503267738e-10,7.602322370098058e-11,6.821549061988604
0.01,norm,64,5.352853333908584e-10,7.771996632472006e-11,6.887359306801481
0.01,ns,1,2.104837805483271e-07,2.104837805483271e-07,1.0
0.01,ns,2,3.952479931696068e-07,4.566888533677613e-07,0.8654645066437004
0.01,ns,3,5.931458537527612e-07,6.856800642160302e-07,0.8650475414228826
0.01,ns,4,8.537994121218652e-07,9.085237134049378e-07,0.9397656874821919
0.01,ns,5,1.160388764286914e-06,1.1169331882510614e-06,1.0389061552588452
0.01,ns,6,1.4660646215449424e-06,1.2822168378654245e-06,1.1433827557479117
0.01,ns,7,1.8210898474224782e-06,1.4442897076414059e-06,1.2608895831546185
0.01,ns,8,2.17258512991194e-06,1.5785091521632488e-06,1.3763525709905116
0.01,ns,9,2.5941432928982913e-06,1.7278785078713018e-06,1.5013458880822608
0.01,ns,10,2.980923615031964e-06,1.8434439502631337e-06,1.6170405477239849
0.01,ns,11,3.406337309119787e-06,1.9604309437297596e-06,1.737545165778276
0.01,ns,12,3.8057995298057858e-06,2.055096999633484e-06,1.8518831619551441
0.01,ns,13,4.203688884415692e-06,2.141069413031216e-06,1.9633594589837817
0.01,ns,14,4.643895305856393e-06,2.233417858178439e-06,2.0792774128008107
0.01,ns,15,5.092322921617135e-06,2.3228337704933987e-06,2.1922889990252994
0.01,ns,16,5.526500028862962e-06,2.4030656713038405e-06,2.2997707032552417
0.01,ns,17,5.969350435352677e-06,2.4816182405195575e-06,2.405426563153775
0.01,ns,18,6.426516211362587e-06,2.559701441827092e-06,2.5106506979092833
0.01,ns,19,6.917735992700028e-06,2.6431387762126538e-06,2.6172428231757214
0.01,ns,20,7.349098160075727e-06,2.7093279975599577e-06,2.712516966086935
0.01,ns,21,7.81923082570995e-06,2.7813823903219954e-06,2.8112750166670653
0.01,ns,22,8.297509030537578e-06,2.8529421666949716e-06,2.908404217723746
0.01,ns,23,8.812124555223821e-06,2.9307486976212386e-06,3.00678272496589
0.01,ns,24,9.324902149359634e-06,3.005553310504567e-06,3.1025575612878367
0.01,ns,25,9.856798245139639e-06,3.0824119237291205e-06,3.197755033731775
0.01,ns,26,1.0365653460538775e-05,3.151565233751271e-06,3.2890493109675094
0.01,ns,27,1.0982618469225746e-05,3.242241987416977e-06,3.3873531068467093
0.01,ns,28,1.1584487545753032e-05,3.3273806804281746e-06,3.4815636256751703
0.01,ns,29,1.2176440362715519e-05,3.407684380830525e-06,3.5732300887994395
0.01,ns,30,1.2789305948754608e-05,3.489884883789724e-06,3.6646784563468144
0.01,ns,31,1.3415725440263202e-05,3.5731104341360285e-06,3.7546349847166423
0.01,ns,32,1.4034432208686817e-05,3.6523413598500445e-06,3.8425850231214516
0.01,ns,33,1.4674040637069192e-05,3.7338752175788176e-06,3.929976172740015
0.01,ns,34,1.5354683895275208e-05,3.821322118299696e-06,4.0181600555849775
0.01,ns,35,1.6020619466953705e-05,3.904265346912934e-06,4.1033633842589765
0.01,ns,36,1.6689636395890794e-05,3.985881152746399e-06,4.187188668280062
0.01,ns,37,1.737708839170666e-05,4.069196478759553e-06,4.270397972280724
0.01,ns,38,1.8078011597908698e-05,4.153507925583847e-06,4.35246830433519
0.01,ns,39,1.8765330638000168e-05,4.234537718993585e-06,4.431494506196083
0.01,ns,40,1.9516055005222935e-05,4.325638579508817e-06,4.511716512256328
0.01,ns,41,2.0280920854384308e-05,4.4191876023842596e-06,4.589287144868495
0.01,ns,42,2.107974902556155e-05,4.515724162993029e-06,4.668077204164272
0.01,ns,43,2.191983264948984e-05,4.618683437701531e-06,4.745904962994857
0.01,ns,44,2.2786896471155483e-05,4.725554995138713e-06,4.822057196370984
0.01,ns,45,2.3643848417632434e-05,4.826809508496296e-06,4.8984424133610025
0.01,ns,46,2.450847347905232e-05,4.926861874295414e-06,4.974459220567708
0.01,ns,47,2.542767375900985e-05,5.037268208538627e-06,5.047909443437542
0.01,ns,48,2.6378594348388648e-05,5.152338106704762e-06,5.119732789675052
0.01,ns,49,2.735898235648595e-05,5.270556409817346e-06,5.190909693239407
0.01,ns,50,2.837011826572751e-05,5.392563655796175e-06,5.2609704913235475
0.01,ns,51,2.940848978881534e-05,5.517168855612217e-06,5.330358841364844
0.01,ns,52,3.042344597618488e-05,5.63506900566257e-06,5.398948255223309
0.01,ns,53,3.149199723260102e-05,5.760834096067991e-06,5.466569025845688
0.01,ns,54,3.2559498617676625e-05,5.883330456452134e-06,5.534195105761781
0.01,ns,55,3.371267648185704e-05,6.020980993935898e-06,5.599199950275738
0.01,ns,56,3.483765754455678e-05,6.149445672229412e-06,5.665170391191826
0.01,ns,57,3.603160463390442e-05,6.289648057334706e-06,5.7287155506079515
0.01,ns,58,3.725125202275274e-05,6.431922956589314e-06,5.791619749516735
0.01,ns,59,3.848933729668872e-05,6.575970007428866e-06,5.853028108888477
0.01,ns,60,3.974268289506371e-05,6.719609211704442e-06,5.914433658707201
0.01,ns,61,4.1004165978809916e-05,6.862670159629044e-06,5.9749580010452314
0.01,ns,62,4.2315237486860524e-05,7.011597517115408e-06,6.035035151913445
0.01,ns,63,4.368791021035779e-05,7.170441582319925e-06,6.0927782074228976
0.01,ns,64,4.500346820331175e-05,7.316241968393244e-06,6.1511727465726755
0.01,scale,1,1.616528704237438e-06,1.616528704237438e-06,1.0
0.01,scale,2,3.03553194046989e-06,3.507406857809519e-06,0.8654633076601985
0.01,scale,3,4.555398886912742e-06,5.2660770364894965e-06,0.8650460020519353
0.01,scale,4,6.5572325773188465e-06,6.977527954206509e-06,0.93976442951629
0.01,scale,5,8.911851665573285e-06,8.5781184101775e-06,1.0389051817004331
0.01,scale,6,1.1259461042131495e-05,9.84750234902224e-06,1.1433824174969045
0.01,scale,7,1.3986073307440647e-05,1.109222902112477e-05,1.26088933800453
0.01,scale,8,1.668557556762108e-05,1.212303983204583e-05,1.3763524494504031
0.01,scale,9,1.9923171565737043e-05,1.3270205371870934e-05,1.501346136508822
0.01,scale,10,2.289366069280147e-05,1.415775374963958e-05,1.6170404640202394
0.01,scale,11,2.6160866397417504e-05,1.5056221406295427e-05,1.7375452772286488
0.01,scale,12,2.922875967988819e-05,1.5783263956269478e-05,1.8518830934382144
0.01,scale,13,3.228458212311211e-05,1.644353969707198e-05,1.963359636542299
0.01,scale,14,3.5665400669579266e-05,1.7152782620883628e-05,2.0792778325165973
0.01,scale,15,3.910935699693715e-05,1.783950124752242e-05,2.192289821015524
0.01,scale,16,4.244387130924665e-05,1.845569044989669e-05,2.299771521660098
0.01,scale,17,4.5845000577495265e-05,1.9058981394252285e-05,2.4054276369313725
0.01,scale,18,4.9356070674116725e-05,1.9658664597788702e-05,2.5106522586314703
0.01,scale,19,5.312868492637963e-05,2.029946988129429e-05,2.617244944674001
0.01,scale,20,5.644157288833076e-05,2.080780603553004e-05,2.712519176310796
0.01,scale,21,6.005224867535875e-05,2.1361194608451733e-05,2.811277635736654
0.01,scale,22,6.372545199185789e-05,2.1910776358990637e-05,2.90840684728679
0.01,scale,23,6.7677741628737e-05,2.250833432300153e-05,3.0067858712928537
0.01,scale,24,7.161589221659421e-05,2.3082835861231623e-05,3.1025603893356726
0.01,scale,25,7.570089940359645e-05,2.3673115082092397e-05,3.1977582646426046
0.01,scale,26,7.960893246738349e-05,2.4204214876906132e-05,3.289052459344196
0.01,scale,27,8.434726558307236e-05,2.4900620454026026e-05,3.3873559792938726
0.01,scale,28,8.896965612149719e-05,2.5554488859748102e-05,3.481566648027809
0.01,scale,29,9.351590773060513e-05,2.617122899363215e-05,3.5732333301335966
0.01,scale,30,9.822274627783338e-05,2.6802532748785847e-05,3.664681513439541
0.01,scale,31,0.00010303368360563364,2.7441706561732828e-05,3.754638341236147
0.01,scale,32,0.00010778539810543559,2.8050202763361467e-05,3.8425889115576166
0.01,scale,33,0.00011269764104037811,2.867638718329333e-05,3.9299804511648873
0.01,scale,34,0.00011792502376826126,2.934798020219299e-05,4.01816489434082
0.01,scale,35,0.00012303945162305866,2.9984989911823244e-05,4.103368118011057
0.01,scale,36,0.00012817755128691823,3.0611806161919455e-05,4.187193353078553
0.01,scale,37,0.0001334572440702623,3.125167473189747e-05,4.270402953287084
0.01,scale,38,0.00013884039150233635,3.189919350473566e-05,4.35247340913884
0.01,scale,39,0.0001441190443459263,3.252150810960166e-05,4.43149942063654
0.01,scale,40,0.00014988467027117572,3.3221169166348585e-05,4.511721713364668
0.01,scale,41,0.00015575890643471663,3.393963537494883e-05,4.589292274768626
0.01,scale,42,0.00016189396009071527,3.468103904673826e-05,4.668082748978115
0.01,scale,43,0.0001683458614499394,3.5471770635400206e-05,4.745910859096872
0.01,scale,44,0.0001750049781036482,3.6292551419161414e-05,4.822063240537304
0.01,scale,45,0.0001815864306293434,3.707019261667322e-05,4.898448532680958
0.01,scale,46,0.00018822680292281355,3.783859890198736e-05,4.974465450223832
0.01,scale,47,0.0001952863268150313,3.868652674313725e-05,5.047915728172054
0.01,scale,48,0.00020258947916881604,3.957026968478842e-05,5.1197396626966984
0.01,scale,49,0.00021011891206945755,4.047819109506119e-05,5.190916550001033
0.01,scale,50,0.0002178845184682838,4.1415214413243544e-05,5.260977675841993
0.01,scale,51,0.00022585930020104693,4.237219319718191e-05,5.3303660528024865
0.01,scale,52,0.0002336542664742893,4.3277679159727154e-05,5.398955558867413
0.01,scale,53,0.0002418608185914799,4.424356293676127e-05,5.466576435925363
0.01,scale,54,0.00025005931369600755,4.518433859796031e-05,5.534203253941081
0.01,scale,55,0.00025891582022644945,4.624150426225646e-05,5.599208424492872
0.01,scale,56,0.00026755575170651664,4.7228120316203604e-05,5.66517892126908
0.01,scale,57,0.00027672535680438955,4.830488237392791e-05,5.72872436914885
0.01,scale,58,0.00028609234475038633,4.9397563907633975e-05,5.791628617260074
0.01,scale,59,0.0002956009319789754,5.050385549430378e-05,5.853036943136264
0.01,scale,60,0.0003052267079374061,5.160701313774096e-05,5.914442425155378
0.01,scale,61,0.0003149149889200125,5.2705731257181663e-05,5.974966695431292
0.01,scale,62,0.0003249841251291189,5.3849503903695475e-05,6.035043994283047
0.01,scale,63,0.00033552633731502075,5.5069432790710026e-05,6.092787238070529
0.01,scale,64,0.00034562988174295276,5.6189182500350566e-05,6.1511818888056675
0.1,linear,1,4.485279428347252e-18,4.485279428347252e-18,1.0
0.1,linear,2,7.631181530570773e-18,9.090108158364417e-18,0.8395039308249388
0.1,linear,3,1.1638248320454172e-17,1.3746852378324028e-17,0.8466118643134124
0.1,linear,4,1.745683635170119e-17,1.8571843948222392e-17,0.9399624722440162
0.1,linear,5,2.4911169609805354e-17,2.349927358995727e-17,1.0600825389109678
0.1,linear,6,3.4095045950530885e-17,2.8516637554644685e-17,1.1956194304183527
0.1,linear,7,4.5093437565123747e-17,3.3612209836426655e-17,1.3415790804761223
0.1,linear,8,5.796822629233378e-17,3.878233830717438e-17,1.4947068387985822
0.1,linear,9,7.275012396088887e-17,4.40186172635676e-17,1.6527126130584107
0.1,linear,10,8.949724623087677e-17,4.931719019612065e-17,1.8147271950200587
0.1,linear,11,1.0819565023860473e-16,5.466938035994872e-17,1.9790904803792113
0.1,linear,12,1.2885667357162255e-16,6.007108874080206e-17,2.145069721103611
0.1,linear,13,1.5147037199509267e-16,6.551568855746503e-17,2.3119710000793963
0.1,linear,14,1.7602955241399513e-16,7.100125057675342e-17,2.47924580178633
0.1,linear,15,2.0248102708382502e-16,7.652013748742755e-17,2.646114261322298
0.1,linear,16,2.3085768626722373e-16,8.207362064614443e-17,2.812812258673868
0.1,linear,17,2.610716190503672e-16,8.76560861003713e-17,2.9783627203184166
0.1,linear,18,2.93108117152033e-16,9.326499542100727e-17,3.1427452049819378
0.1,linear,19,3.2689684088629506e-16,9.889707529041276e-17,3.3054247552453653
0.1,linear,20,3.6244390972346517e-16,1.0455241958008514e-16,3.466623835002117
0.1,linear,21,3.9964959369711434e-16,1.1022574169532814e-16,3.625737396276947
0.1,linear,22,4.384893336402675e-16,1.1591552410909112e-16,3.782835276037692
0.1,linear,23,4.789422228475929e-16,1.2162542626723454e-16,3.937846201626166
0.1,linear,24,5.209018748519999e-16,1.2734809043348305e-16,4.0903783722150076
0.1,linear,25,5.643366257231502e-16,1.3308212344475564e-16,4.240514136050847
0.1,linear,26,6.092015298801132e-16,1.3882809568202096e-16,4.388171766581455
