strategy,seed,final_train_loss,final_test_loss,final_test_accuracy,best_test_loss,best_test_accuracy,calibrated_iid_noise_std,sensitivity_squared,mean_marginal_correlated_noise_variance
adam_momentum,0,0.3860685887145996,0.46958219604492185,0.9073,0.46958219604492185,0.9073,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,1,0.38499596755981447,0.46896974029541016,0.9058,0.4578702758789063,0.9058,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,2,0.38562616928100585,0.4808815124511719,0.9038,0.44918345642089846,0.9052,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,3,0.39144000534057616,0.4930743919372559,0.9019,0.4726505081176758,0.9019,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,4,0.3562232078552246,0.46264953231811523,0.9083,0.46264953231811523,0.9083,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,5,0.39103719268798826,0.4836339645385742,0.9029,0.4580238128662109,0.9029,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,6,0.3698873356628418,0.4593735801696777,0.9066,0.4487839431762695,0.9066,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,7,0.3816124266052246,0.4580406921386719,0.9068,0.44977486572265624,0.9068,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,8,0.38460427337646486,0.46427663116455076,0.9056,0.45325388793945315,0.9056,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum,9,0.3700119854736328,0.4413054779052734,0.908,0.4327061569213867,0.908,0.013446736673377351,24.511695861816406,0.00025013821557520207
adam_momentum_wd,0,0.38261171157836915,0.46523786849975585,0.908,0.46523786849975585,0.908,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,1,0.38143646987915036,0.46481672058105467,0.9067,0.45414559173583985,0.9067,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,2,0.38217856842041015,0.4768879203796387,0.9048,0.44574539794921875,0.9057,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,3,0.3878597346496582,0.4885235832214355,0.9031,0.46855065155029296,0.9031,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,4,0.3529417398071289,0.45861960067749025,0.9094,0.45861960067749025,0.9094,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,5,0.3874586898803711,0.4789735107421875,0.9037,0.4553564208984375,0.9037,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,6,0.36621113693237306,0.4546932678222656,0.9073,0.44580302734375,0.9073,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,7,0.377474571685791,0.45314116821289063,0.907,0.44645032424926756,0.907,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,8,0.3807595246887207,0.4594287414550781,0.9065,0.4492634902954102,0.9065,0.013610321799235126,25.111713409423828,0.0002573313878635532
adam_momentum_wd,9,0.36630866622924807,0.43672093658447264,0.9085,0.4289631698608398,0.9085,0.013610321799235126,25.111713409423828,0.0002573313878635532
