seed,stage,start_step,end_step,num_steps,mean_g2_mf,mean_g2_iid,mean_2gxi_mf,mean_2gxi_iid,mean_xi2_mf,mean_xi2_iid,mean_private_second_moment_mf,mean_private_second_moment_iid,delta_traj,delta_feedback,delta_noise,delta_total,delta_decomposition_residual
3,full,1,488,488,2.6393373132814503e-10,1.2651495539378338e-09,2.1470168792557604e-10,3.22457166313639e-13,0.0002563214145427127,0.0002563221560343604,0.0002563218931781307,0.00025632342150636993,-1.0012158226096888e-09,2.143792307592624e-10,-7.414916477046021e-10,-1.5283282392463196e-09,3.087089744836184e-19
4,early,1,97,97,6.254675930963473e-10,1.3451786259916802e-09,3.315515129946729e-10,5.023629493941414e-11,0.00025551763426790916,0.0002555186746548381,0.00025551859128702974,0.0002555200700697114,-7.19711032895333e-10,2.8131521805525875e-10,-1.0403869289514478e-09,-1.4787826816482948e-09,6.214322730235689e-17
4,late,98,488,391,1.4251495066118897e-10,1.2303666717873959e-09,1.8004388270031637e-10,3.8065280015895484e-11,0.0002565191101605583,0.0002565181659608412,0.0002565194327193899,0.0002565194343928181,-1.087851721126207e-09,1.419786026844209e-10,9.441997170559456e-10,-1.6734281603654477e-12,-2.6774524933480303e-17
4,full,1,488,488,2.3851168491571836e-10,1.253187900389477e-09,2.1015912888587496e-10,4.048451863798833e-11,0.00025632004630484726,0.0002563194965823939,0.00025632049497566255,0.00025632079025482353,-1.0146762154737586e-09,1.6967461024788662e-10,5.497224533760649e-10,-2.9527916098554333e-10,-9.135736201349927e-18
5,early,1,97,97,6.563544311434506e-10,1.1560101055102236e-09,3.4413698219587134e-10,-2.7073507445692032e-12,0.0002555283750815451,0.00025553469901385995,0.0002555293755729437,0.00025553585231656833,-4.99655674366773e-10,3.4684433294044057e-10,-6.323932314822919e-09,-6.476743624652791e-09,3.159645974984334e-17
5,late,98,488,391,1.5782117503311986e-10,1.119287985044288e-09,1.906926773796541e-10,-5.757322604322144e-12,0.00025650867870758717,0.0002565137400200157,0.00025650902722143526,0.00025651485355070657,-9.614668100111682e-10,1.9644999998397622e-10,-5.061312428520336e-09,-5.826329271309012e-09,-3.2761484085620175e-17
5,full,1,488,488,2.569148755304602e-10,1.1265872589893614e-09,2.2119287731238578e-10,-5.151078197772892e-12,0.00025631382327372224,0.0002563191355577265,0.0002563143013814687,0.0002563202569939209,-8.696723834589012e-10,2.2634395551015869e-10,-5.312284004290076e-09,-5.955612452203732e-09,-1.996491398264113e-17
6,early,1,97,97,6.043408167942993e-10,1.162993414630195e-09,3.640228316242044e-10,-2.837746865240994e-11,0.0002555482172930479,0.0002555604307004971,0.00025554918565666527,0.000255561565316442,-5.586525978358957e-10,3.924003002766143e-10,-1.22134074491821e-08,-1.2379659776733543e-08,-2.999216114977022e-17
6,late,98,488,391,1.4362102601965927e-10,1.0459512992863196e-09,1.5952865302980648e-10,1.4539793163727837e-11,0.00025651642568576174,0.0002565160998121819,0.00025651672883544293,0.000256517160303279,-9.023302732666604e-10,1.4498885986607865e-10,3.2587357985669474e-10,-4.314678360688856e-10,-2.524998598320169e-18
6,full,1,488,488,2.3519852541543814e-10,1.0692158181149176e-09,2.0017606147992246e-10,6.009107925684057e-12,0.00025632397442737395,0.00025632614099285105,0.0002563244098019564,0.00025632721621778065,-8.340172926994794e-10,1.941669535542384e-10,-2.1665654771001013e-09,-2.8064158242311135e-09,-7.985771619202809e-18
7,early,1,97,97,5.991162598960792e-10,1.392793293641375e-09,3.3794450265913406e-10,-7.454572424143805e-11,0.0002555335503126754,0.0002555421443437658,0.00025553448737344143,0.00025554346259135157,-7.936770337452959e-10,4.124902269005721e-10,-8.594031090448147e-09,-8.975217910133122e-09,-1.2840250202405519e-17
7,late,98,488,391,1.4768141615119785e-10,1.2207424970707754e-09,1.6398560886235194e-10,-3.364731060955754e-11,0.00025652056468217194,0.0002565195895922001,0.000256520876349194,0.0002565207766873963,-1.0730610809195776e-09,1.976329194719095e-10,9.750899718197724e-10,9.966179769470285e-11,-1.2677401500850979e-17
7,full,1,488,488,2.3741334205950416e-10,1.2549411185202595e-09,1.9856350373589265e-10,-4.1776708401140356e-11,0.00025632437535053017,0.00025632530231945805,0.0002563248113273743,0.00025632651548387924,-1.0175277764607555e-09,2.4034021213703303e-10,-9.26968927886327e-10,-1.7041565049304847e-09,-1.2720435158628744e-17
8,early,1,97,97,6.074167357525561e-10,1.2535881988819552e-09,3.8317766516843605e-10,-2.409256868767417e-12,0.0002555572486316939,0.00025554288979187683,0.0002555582392261453,0.0002555441409708039,-6.461714631293991e-10,3.8558692203720346e-10,1.4358839817076464e-08,1.4098255341420899e-08,6.543663036762452e-17
8,late,98,488,391,1.3755025230501326e-10,1.191034098996136e-09,1.618189428924831e-10,-5.193408903364305e-12,0.0002565251974760533,0.0002565279650195833,0.0002565254968452408,0.0002565291508602384,-1.0534838466911226e-09,1.670123517958474e-10,-2.7675435299587617e-09,-3.6540149975878775e-09,2.7266159730551195e-17
8,full,1,488,488,2.3094584430175848e-10,1.2034680081947515e-09,2.0581852498421966e-10,-4.6400016341923836e-12,0.0002563327978082196,0.00025633216113210886,0.00025633323457259277,0.0002563333599600844,-9.72522163892993e-10,2.1045852661841204e-10,6.36676110758131e-10,-1.253874916222475e-10,3.4894202411399574e-17
9,early,1,97,97,6.982291883847727e-10,1.065709518055971e-09,3.300436369984107e-10,5.436544365956942e-11,0.0002555335293099111,0.00025553528634116013,0.0002555345575827208,0.00025553640641613084,-3.6748032967119837e-10,2.7567819333884126e-10,-1.7570312490101242e-09,-1.8488334100437084e-09,-2.4701227333798804e-17
9,late,98,488,391,1.9590057283093576e-10,1.0478638956818725e-09,1.9586354305898182e-10,-3.824608053755284e-11,0.00025652811403715,0.0002565221862344647,0.000256528505801257,0.00025652319585229796,-8.519633228509367e-10,2.3410962359653466e-10,5.927802685290386e-09,5.309948959046976e-09,-2.6989008316821934e-17
9,full,1,488,488,2.95748678791432e-10,1.0514110788177075e-09,2.225345863215322e-10,-1.9837642326239606e-11,0.00025633041994177665,0.000256326019657312,0.0002563309382250315,0.00025632705123076473,-7.556624000262755e-10,2.423722286477718e-10,4.400284464654413e-09,3.886994266765528e-09,-2.651038176206405e-17
