target_r,strategy,prefix,J_k,D_k,R_k
0.01,adam-m-aware,9,3.4342271954483073e-05,2.6817502505916138e-05,1.2805917309752062
0.01,adam-m-aware,10,3.550699123313915e-05,2.692883114116564e-05,1.3185492919096746
0.01,adam-m-aware,11,3.673845792400841e-05,2.7041067123947264e-05,1.3586171638719555
0.01,adam-m-aware,12,3.80336149943391e-05,2.7153431101417353e-05,1.4006927836222445
0.01,adam-m-aware,13,3.93809054864815e-05,2.7265055533830363e-05,1.4443728323831158
0.01,adam-m-aware,14,4.077694977178938e-05,2.7376211831980065e-05,1.4895030043621658
0.01,adam-m-aware,15,4.222721176122506e-05,2.7488465514993027e-05,1.536179301758153
0.01,adam-m-aware,16,4.373075466659179e-05,2.7601642119909906e-05,1.584353368419608
0.01,adam-m-aware,17,4.5268704719068495e-05,2.771367492991688e-05,1.6334428701190031
0.01,adam-m-aware,18,4.681129133638683e-05,2.7820675760407184e-05,1.682607990529332
0.01,adam-m-aware,19,4.836220022236047e-05,2.7924123928958454e-05,1.7319146822796794
0.01,adam-m-aware,20,4.969090958679348e-05,2.800561031356633e-05,1.7743198248646082
0.01,adam-m-aware,21,5.100343554391763e-05,2.8084507110726577e-05,1.8160701678982791
0.01,adam-m-aware,22,5.229039807982391e-05,2.8160223695659403e-05,1.856888590266558
0.01,adam-m-aware,23,5.3506070838216944e-05,2.8229915756858968e-05,1.8953677120066035
0.01,adam-m-aware,24,5.469697315586182e-05,2.829657083116247e-05,1.9329894594727746
0.01,adam-m-aware,25,5.584745632573879e-05,2.8360591130417808e-05,1.969192252337797
0.01,adam-m-aware,26,5.6960835117847146e-05,2.8421801873538413e-05,2.004124698753863
0.01,adam-m-aware,27,5.804987444985139e-05,2.8481655554653917e-05,2.0381495850358324
0.01,adam-m-aware,28,5.91119039409325e-05,2.8539265775757883e-05,2.0712482376173793
0.01,adam-m-aware,29,6.015087719370889e-05,2.8595490748230603e-05,2.103509176440024
0.01,adam-m-aware,30,6.110721763696403e-05,2.8644947625576633e-05,2.133263374599517
0.01,adam-m-aware,31,6.203424817255097e-05,2.8692952570011774e-05,2.162002952508471
0.01,adam-m-aware,32,6.295638587615278e-05,2.8741719115213576e-05,2.190418242687115
0.01,adam-m-aware,33,6.38687872166611e-05,2.8789822690371632e-05,2.218450176076324
0.01,adam-m-aware,34,6.477266674804715e-05,2.8837987395817776e-05,2.2460883229819566
0.01,adam-m-aware,35,6.56681614265942e-05,2.8885967971884483e-05,2.2733585210130696
0.01,adam-m-aware,36,6.651845713645964e-05,2.8929700069179358e-05,2.2993137494476126
0.01,adam-m-aware,37,6.733933232941392e-05,2.8972757699668958e-05,2.3242292993802014
0.01,adam-m-aware,38,6.814775596800813e-05,2.9015647659410913e-05,2.3486553451411636
0.01,adam-m-aware,39,6.894261155682454e-05,2.9057800394060223e-05,2.372602558413791
0.01,adam-m-aware,40,6.968908969580526e-05,2.9095392482226313e-05,2.395193319298809
0.01,adam-m-aware,41,7.038093112681439e-05,2.9130153086324952e-05,2.4160851787577617
0.01,adam-m-aware,42,7.10656587433914e-05,2.9165030338051908e-05,2.4366735751572777
0.01,adam-m-aware,43,7.17098234950644e-05,2.919659706679219e-05,2.4561021043314044
0.01,adam-m-aware,44,7.234564516131752e-05,2.9228717291270416e-05,2.4751563484766606
0.01,adam-m-aware,45,7.296602830896195e-05,2.9260271979323402e-05,2.4936893396111617
0.01,adam-m-aware,46,7.358291918063692e-05,2.9292077162259475e-05,2.512041695542257
0.01,adam-m-aware,47,7.419355067421411e-05,2.9323722870312965e-05,2.530154544235135
0.01,adam-m-aware,48,7.479916921981795e-05,2.9355408517370108e-05,2.5480541064709756
0.01,adam-m-aware,49,7.537153112434047e-05,2.9384733218794025e-05,2.564989464533712
0.01,adam-m-aware,50,7.593253205678775e-05,2.941363372550329e-05,2.5815420415380346
0.01,adam-m-aware,51,7.648102708979548e-05,2.944166596935629e-05,2.59771397343476
0.01,adam-m-aware,52,7.700911117502984e-05,2.9468318277934197e-05,2.6132848996915468
0.01,adam-m-aware,53,7.752388137314135e-05,2.9494332900135896e-05,2.6284331174950615
0.01,adam-m-aware,54,7.803010135351993e-05,2.952020361804468e-05,2.6432778839581865
0.01,adam-m-aware,55,7.852664202883321e-05,2.954550427010873e-05,2.657820334049226
0.01,adam-m-aware,56,7.900834550198061e-05,2.957001655203516e-05,2.6719073816866987
0.01,adam-m-aware,57,7.948135848387927e-05,2.959433961221919e-05,2.6856946134071613
0.01,adam-m-aware,58,7.991263660887441e-05,2.9615230717099177e-05,2.6983627908302816
0.01,adam-m-aware,59,8.030715089661094e-05,2.9634062172861004e-05,2.7099609371190616
0.01,adam-m-aware,60,8.067111577226645e-05,2.9650883189661005e-05,2.720698579406759
0.01,adam-m-aware,61,8.101885224438935e-05,2.966734892837917e-05,2.730909743232514
0.01,adam-m-aware,62,8.135699090307437e-05,2.96834450920674e-05,2.740820368078374
0.01,adam-m-aware,63,8.16886799112752e-05,2.9699566829089387e-05,2.7505007187938113
0.01,adam-m-aware,64,8.200974649319089e-05,2.971525361074839e-05,2.7598534936793175
0.1,decayed-prefix,1,0.0004554020040770867,0.0004554020040770867,1.0
0.1,decayed-prefix,2,0.0005867180058754626,0.0004982376133357115,1.1775867380773863
0.1,decayed-prefix,3,0.0006788291199763222,0.0005177765336198927,1.3110465150486341
0.1,decayed-prefix,4,0.0007668580107348203,0.000533142010428279,1.4383747589479856
0.1,decayed-prefix,5,0.0008501934817031138,0.0005450030334586209,1.559979357009697
0.1,decayed-prefix,6,0.0009298424622452003,0.0005548523884311884,1.6758375409976585
0.1,decayed-prefix,7,0.0010142131253345066,0.0005644068927152979,1.7969538260867823
0.1,decayed-prefix,8,0.0011038093973745476,0.0005737328530598942,1.9239082989366774
0.1,decayed-prefix,9,0.0011979005002305534,0.0005827820824575817,2.055486152180637
0.1,decayed-prefix,10,0.0012967794932155052,0.0005917029386830839,2.1916056325521485
0.1,decayed-prefix,11,0.001400060799041322,0.0006005069036939888,2.331464951408413
0.1,decayed-prefix,12,0.0015076423014450315,0.0006092426021532171,2.474617329971087
0.1,decayed-prefix,13,0.0016187718816556707,0.000617921103350639,2.6197064202500613
0.1,decayed-prefix,14,0.0017335731545974147,0.0006265841431330963,2.766704477915868
0.1,decayed-prefix,15,0.00185222987223156,0.0006352295607113349,2.9158433215189468
0.1,decayed-prefix,16,0.0019743883131156164,0.0006438178416533968,3.066687788653332
0.1,decayed-prefix,17,0.0020981995171163222,0.0006523114559035165,3.2165608899357845
0.1,decayed-prefix,18,0.002224396363102237,0.0006606915150086138,3.3667699865545213
0.1,decayed-prefix,19,0.002353147501446676,0.0006691454738512792,3.5166456225177645
0.1,decayed-prefix,20,0.0024634004519668625,0.000675992356074434,3.644124715066476
0.1,decayed-prefix,21,0.0025738858716735577,0.0006828465146302832,3.769347600854562
0.1,decayed-prefix,22,0.002684730217542529,0.0006896800700444173,3.89271828221689
0.1,decayed-prefix,23,0.0027919702023922795,0.000695889352213073,4.0120892689523595
0.1,decayed-prefix,24,0.0028997699961086513,0.0007020588673236017,4.130380130605277
0.1,decayed-prefix,25,0.003005468133529709,0.0007079760319151792,4.2451552002395845
0.1,decayed-prefix,26,0.003107799498432777,0.0007136891428470702,4.3545562232249315
0.1,decayed-prefix,27,0.003208292647792766,0.0007191831506882672,4.461023099223598
0.1,decayed-prefix,28,0.003306411387981434,0.0007244806774572932,4.563836539555385
0.1,decayed-prefix,29,0.003403085788248018,0.0007296718008422189,4.663858167905117
0.1,decayed-prefix,30,0.0034915136850948354,0.0007343464661773761,4.754586351139988
0.1,decayed-prefix,31,0.0035781695410796468,0.0007389085778384184,4.842506432320923
0.1,decayed-prefix,32,0.0036646593711510667,0.0007434662885221051,4.929153382913753
0.1,decayed-prefix,33,0.003751639488953967,0.0007480333625630344,5.015337118252968
0.1,decayed-prefix,34,0.0038379745681885852,0.0007525413042516254,5.100018492679693
0.1,decayed-prefix,35,0.00392374241386886,0.0007570317424517253,5.183061942900064
0.1,decayed-prefix,36,0.004006558494755371,0.000761277196754972,5.262943001358464
0.1,decayed-prefix,37,0.004084764700097016,0.0007653155656089452,5.337360016775376
0.1,decayed-prefix,38,0.004160633153490004,0.0007693431167947319,5.408033246367629
0.1,decayed-prefix,39,0.004235974511588457,0.0007733092474742467,5.477723854232749
0.1,decayed-prefix,40,0.004309739235743319,0.0007770367020067814,5.5463779569394225
0.1,decayed-prefix,41,0.004376685289765891,0.0007804291390632962,5.608049559783189
0.1,decayed-prefix,42,0.00444388613492392,0.0007838445056775005,5.669346538422101
0.1,decayed-prefix,43,0.0045096150945824545,0.0007869817225021939,5.730266619463812
0.1,decayed-prefix,44,0.004574273347818754,0.0007901165023154047,5.789365662423237
0.1,decayed-prefix,45,0.0046366629186342925,0.0007931703188221255,5.845734274978713
0.1,decayed-prefix,46,0.004698477858652051,0.0007962520011468331,5.900742292496451
0.1,decayed-prefix,47,0.004760411959420649,0.0007993471196744024,5.955375133345955
0.1,decayed-prefix,48,0.004822363509317904,0.0008024615643095713,6.009463535449216
0.1,decayed-prefix,49,0.004879262302486751,0.0008054159589646793,6.058065088204597
0.1,decayed-prefix,50,0.004936024729103888,0.0008083610615170707,6.10621288442609
0.1,decayed-prefix,51,0.004992361623599478,0.0008112450507342426,6.153950177053143
0.1,decayed-prefix,52,0.005047787590485138,0.0008139801523083708,6.201364463457849
0.1,decayed-prefix,53,0.005102288215506941,0.0008166774672548235,6.247617229672998
0.1,decayed-prefix,54,0.0051561143583601305,0.0008193364391277864,6.293036794322248
0.1,decayed-prefix,55,0.005209705722152259,0.0008219473437706892,6.338247530860916
0.1,decayed-prefix,56,0.005261132574796748,0.0008244670804298263,6.381252447403865
0.1,decayed-prefix,57,0.00531165910248636,0.0008269592865095971,6.42312044756839
0.1,decayed-prefix,58,0.005357702430197359,0.0008291441288181173,6.461726307866838
0.1,decayed-prefix,59,0.005398724074022245,0.0008310947361600945,6.495918983876567
0.1,decayed-prefix,60,0.00543616308091453,0.0008328765283822641,6.526973561703617
0.1,decayed-prefix,61,0.005472764045076065,0.0008345766709981367,6.557532980799416
0.1,decayed-prefix,62,0.005508886338418511,0.0008362444232926291,6.587650912789134
0.1,decayed-prefix,63,0.0055441557864101074,0.0008379193019228016,6.61657485832794
0.1,decayed-prefix,64,0.005578836033529621,0.0008395378141943105,6.6451277586388775
0.1,adam-m-aware,1,0.00045276935014027696,0.00045276935014027696,1.0
0.1,adam-m-aware,2,0.0005815719984695244,0.0004947850931595109,1.1754032336662066
0.1,adam-m-aware,3,0.000670303875613884,0.0005136904827459288,1.3048789069067028
0.1,adam-m-aware,4,0.0007549496689326195,0.0005284991021923685,1.4284786214411112
0.1,adam-m-aware,5,0.0008346540405603539,0.0005398530101651684,1.5460764779379317
0.1,adam-m-aware,6,0.000910447740182204,0.0005492402577617249,1.6576493207043475
0.1,adam-m-aware,7,0.0009905958537221528,0.0005583302797030916,1.7742112325502586
0.1,adam-m-aware,8,0.0010755566274606475,0.0005671837324522675,1.8963107824168126
0.1,adam-m-aware,9,0.0011646102961891589,0.0005757552552356267,2.022752351105409
0.1,adam-m-aware,10,0.0012580683639347705,0.0005841960926269009,2.153503557816914
0.1,adam-m-aware,11,0.0013555592055197667,0.0005925178721186366,2.287794629169178
0.1,adam-m-aware,12,0.001457009770648294,0.0006007710848947241,2.4252328503852887
0.1,adam-m-aware,13,0.0015617088130071954,0.0006089702134211495,2.564507719078132
0.1,adam-m-aware,14,0.0016698210313216564,0.0006171595824355175,2.7056551965570814
0.1,adam-m-aware,15,0.001781538550111918,0.0006253327545944114,2.8489448809816746
0.1,adam-m-aware,16,0.0018965232682358754,0.0006334474534530848,2.993970940916156
0.1,adam-m-aware,17,0.0020129661694251585,0.0006414691390892915,3.138056138262572
0.1,adam-m-aware,18,0.002131715771765968,0.0006493920179117176,3.2826331598916676
0.1,adam-m-aware,19,0.002252957107577679,0.0006574021122379102,3.42706095042534
0.1,adam-m-aware,20,0.002356351367579365,0.0006638727079911691,3.5494023767139247
0.1,adam-m-aware,21,0.002460020834921457,0.0006703669492720085,3.669663066762078
0.1,adam-m-aware,22,0.002564122589324043,0.0006768570392821045,3.7882779383422394
0.1,adam-m-aware,23,0.002664864460799533,0.0006827386556364877,3.90319844760393
0.1,adam-m-aware,24,0.002766264892085302,0.0006885924174723481,4.0172746923928875
0.1,adam-m-aware,25,0.0028656748043713546,0.0006942016417094326,4.128015020700313
0.1,adam-m-aware,26,0.002961803849070742,0.0006996162466514256,4.233469224373831
0.1,adam-m-aware,27,0.003056187150162897,0.0007048160236545642,4.336148792866772
0.1,adam-m-aware,28,0.0031483024234904224,0.0007098267841583678,4.435310830406777
0.1,adam-m-aware,29,0.003239042440960937,0.000714735227298312,4.531807468346659
0.1,adam-m-aware,30,0.003321839999535624,0.0007191528546783356,4.619101457952808
0.1,adam-m-aware,31,0.003403004870979857,0.0007234701155845746,4.703725555035786
0.1,adam-m-aware,32,0.003484047971519203,0.0007277831463079852,4.787206174247973
0.1,adam-m-aware,33,0.0035656457337386875,0.0007321060065720981,4.870395409585458
0.1,adam-m-aware,34,0.0036466448045985923,0.0007363670228336241,4.952210910485763
0.1,adam-m-aware,35,0.0037271094024188853,0.0007406098153820615,5.032487181521036
0.1,adam-m-aware,36,0.003804863073491138,0.0007446260680451319,5.109763459503978
0.1,adam-m-aware,37,0.0038780952106222126,0.0007484390800472932,5.181577651419751
0.1,adam-m-aware,38,0.003949021218529359,0.0007522410545748992,5.249675213168205
0.1,adam-m-aware,39,0.004019486433590034,0.0007559828015540296,5.316901952435175
0.1,adam-m-aware,40,0.0040886417997929685,0.0007595049753240215,5.3832982437655055
0.1,adam-m-aware,41,0.004151218828854304,0.000762706222452352,5.44274939242893
0.1,adam-m-aware,42,0.004214103189984583,0.0007659311742711743,5.501934549138223
0.1,adam-m-aware,43,0.004275769899544066,0.0007688918701388008,5.560950850959319
0.1,adam-m-aware,44,0.004336402903219337,0.0007718497795752133,5.618195428656948
0.1,adam-m-aware,45,0.004394838020281295,0.0007747271815190522,5.6727556811212985
0.1,adam-m-aware,46,0.00445272064109906,0.0007776311499375666,5.726006013849309
0.1,adam-m-aware,47,0.004510761797760275,0.0007805485666380762,5.7789636552517285
0.1,adam-m-aware,48,0.004568844610655517,0.0007834854385227713,5.83143525841384
0.1,adam-m-aware,49,0.004622004431742092,0.0007862722520499384,5.878376630603181
0.1,adam-m-aware,50,0.004675094057503823,0.0007890534359384345,5.92493973737489
0.1,adam-m-aware,51,0.0047278499245051965,0.0007917778248141916,5.971182541787771
0.1,adam-m-aware,52,0.004779821957315936,0.0007943602038289531,6.017197153478196
0.1,adam-m-aware,53,0.004830939737435957,0.0007969082554911144,6.062102762957037
0.1,adam-m-aware,54,0.004881435073862285,0.0007994196650175727,6.106223411147863
0.1,adam-m-aware,55,0.004931762527026105,0.0008018845170026469,6.150215426855319
0.1,adam-m-aware,56,0.004979992123358149,0.0008042612224922898,6.192008248173237
0.1,adam-m-aware,57,0.005027364060167079,0.0008066113018150883,6.232697271727019
0.1,adam-m-aware,58,0.005070497684184698,0.0008086715876680018,6.270156836852266
0.1,adam-m-aware,59,0.005108794972481602,0.0008105092999570702,6.303191058698768
0.1,adam-m-aware,60,0.005143701303799325,0.0008121909942449539,6.3331178752863675
0.1,adam-m-aware,61,0.0051778869018815265,0.0008137934815882764,6.362654677174205
0.1,adam-m-aware,62,0.005211662346626227,0.0008153643298099118,6.391820387631179
0.1,adam-m-aware,63,0.0052446177610833275,0.0008169422527350236,6.419814550569496
0.1,adam-m-aware,64,0.005277051050169779,0.0008184657791637773,6.447491372896883
1.0,decayed-prefix,1,0.0025143921763156785,0.0025143921763156785,1.0
1.0,decayed-prefix,2,0.00439656933970423,0.003191328286583359,1.377661257285193
1.0,decayed-prefix,3,0.0061461756250052865,0.003577897821164212,1.717817537619166
1.0,decayed-prefix,4,0.007913773862694526,0.003871907081130544,2.043895604122765
1.0,decayed-prefix,5,0.009653936934312745,0.0041064720762173535,2.3509077269083485
1.0,decayed-prefix,6,0.011335212107282932,0.004296630255728212,2.638163265775772
1.0,decayed-prefix,7,0.013054405456751031,0.004463349592372526,2.924800127478221
1.0,decayed-prefix,8,0.014801829990963506,0.004611575022939427,3.209712498947657
1.0,decayed-prefix,9,0.016565301898710808,0.004746844046620505,3.4897506081971246
1.0,decayed-prefix,10,0.01834178919318084,0.0048718795586380525,3.7648281268899715
1.0,decayed-prefix,11,0.0201123521968282,0.004986790103982174,4.033125874050241
1.0,decayed-prefix,12,0.02187811746210207,0.005095393340239432,4.293705314038429
1.0,decayed-prefix,13,0.023630353418578873,0.005199703362832612,4.544557981420291
1.0,decayed-prefix,14,0.025391637199349414,0.0053031566225502135,4.788023248526824
1.0,decayed-prefix,15,0.0271675606047003,0.005403757451044919,5.027531463213053
1.0,decayed-prefix,16,0.02895435397266885,0.005499761026965895,5.2646567424843855
1.0,decayed-prefix,17,0.030740228023704387,0.005593563706537278,5.495642784541427
1.0,decayed-prefix,18,0.0325628495465312,0.005691794178639918,5.7210166995729725
1.0,decayed-prefix,19,0.03445790808031409,0.005798594449568589,5.942458707881827
1.0,decayed-prefix,20,0.036133754316388676,0.005898255928824903,6.126176068386969
1.0,decayed-prefix,21,0.037837096636370346,0.006008994884820407,6.29674302635077
1.0,decayed-prefix,22,0.03960253272963353,0.006124804654177187,6.465925848365489
1.0,decayed-prefix,23,0.04140577983205383,0.006226057721471825,6.650400893210095
1.0,decayed-prefix,24,0.0432812367296397,0.0063350313695815594,6.8320477365684305
1.0,decayed-prefix,25,0.04514914942499098,0.006435253036441399,7.015908957941738
1.0,decayed-prefix,26,0.046909364865537394,0.006534672394497353,7.178533526032357
1.0,decayed-prefix,27,0.048677524359357384,0.006628319055036719,7.343871644556454
1.0,decayed-prefix,28,0.05044221795306063,0.0067226706839929075,7.503300447717401
1.0,decayed-prefix,29,0.05210990146356997,0.006808164470267888,7.65403093464332
1.0,decayed-prefix,30,0.05352659482325984,0.006897691455505424,7.760073811439818
1.0,decayed-prefix,31,0.05491005082193929,0.006994768537133085,7.850159805923332
1.0,decayed-prefix,32,0.05635112517398942,0.007086764429763461,7.951601288921394
1.0,decayed-prefix,33,0.0578853114945454,0.007179137666612779,8.062989481835153
1.0,decayed-prefix,34,0.05948354578759605,0.007263126207026432,8.189799280928229
1.0,decayed-prefix,35,0.06107247897662249,0.007344794261378626,8.315070075926009
1.0,decayed-prefix,36,0.06275670924781827,0.007440375171451088,8.434616239328548
1.0,decayed-prefix,37,0.0642739563887861,0.007522076211042708,8.544709543680156
1.0,decayed-prefix,38,0.06568590371040339,0.007602602713032008,8.639923219689994
1.0,decayed-prefix,39,0.06715471040237736,0.007681587393212582,8.7422959558743
1.0,decayed-prefix,40,0.06874977445846785,0.007772659463641289,8.845077386969475
1.0,decayed-prefix,41,0.07009943096334653,0.007851437663409415,8.92822868479688
1.0,decayed-prefix,42,0.0715182098254017,0.007933165785081913,9.015090792617697
1.0,decayed-prefix,43,0.07313504484423301,0.00801526171058739,9.124473720880337
1.0,decayed-prefix,44,0.0747509718336107,0.008090851611806718,9.238949794176056
1.0,decayed-prefix,45,0.07627926447906054,0.008159481905847437,9.348542635335159
1.0,decayed-prefix,46,0.07780798449130467,0.008228649444453723,9.45574179779269
1.0,decayed-prefix,47,0.07940048279760062,0.008299798176232463,9.566555850113811
1.0,decayed-prefix,48,0.08100037685698509,0.008371108987508553,9.676182328751736
1.0,decayed-prefix,49,0.0822943772667121,0.008447237086580751,9.74216497337865
1.0,decayed-prefix,50,0.08363212105063117,0.00852452749381871,9.810763248904333
1.0,decayed-prefix,51,0.08510110300786701,0.00860238344297263,9.89273537642488
1.0,decayed-prefix,52,0.08668510888739066,0.008681094076954991,9.985505066407091
1.0,decayed-prefix,53,0.0882406249852627,0.00876213262549219,10.070678995264124
1.0,decayed-prefix,54,0.08986567721510882,0.008842209812692979,10.16325999029188
1.0,decayed-prefix,55,0.09161313893667218,0.008921989515170885,10.268241044320202
1.0,decayed-prefix,56,0.09323213339829174,0.008998040174977193,10.36138221049097
1.0,decayed-prefix,57,0.09485736679678633,0.009072512516601957,10.455468275541653
1.0,decayed-prefix,58,0.09641701993767904,0.00915491866346415,10.531717810062508
1.0,decayed-prefix,59,0.09761567787396101,0.009228569859715579,10.577552032202906
1.0,decayed-prefix,60,0.09870677496849162,0.00931818163319609,10.592922402032604
1.0,decayed-prefix,61,0.0998932516910954,0.009382235456502188,10.647062968545114
1.0,decayed-prefix,62,0.1011309903669548,0.00944431937810784,10.708129015774167
1.0,decayed-prefix,63,0.10231843198347747,0.00950760244765989,10.761749089399624
1.0,decayed-prefix,64,0.1035325270211978,0.009566725941679953,10.82214831409889
1.0,adam-m-aware,1,0.0025083266120959164,0.0025083266120959164,1.0
1.0,adam-m-aware,2,0.004357795809198046,0.003175118747898993,1.3724827810240614
1.0,adam-m-aware,3,0.006051214044320026,0.003551202345428029,1.7039902139371528
1.0,adam-m-aware,4,0.007759819277850406,0.0038361310744374727,2.022824331931437
1.0,adam-m-aware,5,0.009437864492951809,0.004062770609902825,2.323011904720249
1.0,adam-m-aware,6,0.011055214624442037,0.004245931299248993,2.6037196189202234
