stage,scope,metric,mean,std
early,stage_corr_norm,G_C,0.9952629239701479,1.599007139733262e-06
early,stage_corr_norm,G_J,0.995263014036445,1.5976778079946467e-06
early,stage_corr_ns,J,4.776337906372619,0.002554517236105395
early,stage_corr_ns,D,16.823601362888663,0.0007701401719105047
early,stage_corr_ns,C,0.2839069880377113,0.00016481545458832628
early,stage_corr_ns,G_C,0.9864268931569576,1.9182494557203377e-05
early,stage_corr_ns,G_J,0.9864273207142302,1.7767633811784423e-05
early,stage_corr_scale,J,4.776337906164102,0.0025545171833053636
early,stage_corr_scale,D,16.823601362928247,0.0007701402417070647
early,stage_corr_scale,C,0.28390698802464936,0.0001648154525629871
early,stage_corr_scale,G_C,0.9864268931575463,1.918249460352349e-05
early,stage_corr_scale,G_J,0.9864273207148196,1.7767633857982674e-05
early,stage_iid_linear,J,10.215046299524571,0.00999279613575789
early,stage_iid_linear,D,0.40232917392112993,0.0001278447857476568
early,stage_iid_linear,C,25.38977350675294,0.024674810239475053
early,stage_iid_linear,G_C,0.9953972629577214,1.291252773982023e-06
early,stage_iid_linear,G_J,0.9989336956740198,5.080682543077959e-07
early,stage_iid_norm,J,2.6472813750268154,0.002368970697243115
early,stage_iid_norm,D,0.10717073026352482,2.509021689273716e-08
early,stage_iid_norm,C,24.701533416951023,0.022103027234968792
early,stage_iid_norm,G_C,0.9952629239701479,1.599007139733262e-06
early,stage_iid_norm,G_J,0.995263014036445,1.5976778079946467e-06
early,stage_iid_ns,J,351.9084978894139,0.27882923359758105
early,stage_iid_ns,D,16.824129745490044,0.001022070764151878
early,stage_iid_ns,C,20.916892306902998,0.017843821369672636
early,stage_iid_ns,G_C,0.9864268931569576,1.9182494557203377e-05
early,stage_iid_ns,G_J,0.9864273207142302,1.7767633811784423e-05
early,stage_iid_scale,J,351.90849788933724,0.27882923874869764
early,stage_iid_scale,D,16.824129745530723,0.0010220707135675162
early,stage_iid_scale,C,20.916892306847842,0.017843821613163433
early,stage_iid_scale,G_C,0.9864268931575463,1.918249460352349e-05
early,stage_iid_scale,G_J,0.9864273207148196,1.7767633857982674e-05
late,P0,C_corr,0.07765339240049443,3.425153537442151e-05
late,P0,C_iid,31.27824931755677,0.017646642148499616
late,P0,J_corr,0.029126817075393403,1.311817242253911e-05
late,P0,J_iid,54.77220640401853,0.030567744575895697
late,P0,D_corr,0.3750875023160347,9.999928612997372e-06
late,P0,D_iid,1.751127648299219,0.00032854300298633453
late,P0,G_C,0.9975173352763513,1.5884078826855295e-06
late,P0,G_J,0.9994682189609874,2.804338936306751e-07
late,P1,C_corr,0.21045249370874694,0.003676455530596746
late,P1,C_iid,25.332406543595905,0.10851388833772761
late,P1,J_corr,4724649744.726809,178533006.56453133
late,P1,J_iid,2657497310892.688,160398029611.95013
late,P1,D_corr,22464432270.107574,1250052558.0585346
late,P1,D_iid,104888548620.76753,5874929738.542359
late,P1,G_C,0.9916918471528411,0.00018021032426156423
late,P1,G_J,0.9982205738693661,3.9261520697777764e-05
late,P2,C_corr,0.25215618093095077,7.724080950694726e-05
late,P2,C_iid,26.37253151737953,0.0142319857798301
late,P2,J_corr,17.05071597275769,0.005119779986644955
late,P2,J_iid,1783.2882269079464,0.9552969510360395
late,P2,D_corr,67.61966306774717,0.0010544975487335754
late,P2,D_iid,67.61915247711194,0.0018355967537078625
late,P2,G_C,0.99043867998066,4.176561444958597e-06
late,P2,G_J,0.9904386077925063,4.13960696494554e-06
late,P3,C_corr,0.25216147565135105,7.81936372837322e-05
late,P3,C_iid,26.37244289136107,0.014213824388989521
late,P3,J_corr,17.051204243364577,0.005178662058141442
late,P3,J_iid,1783.286493117709,0.9560337965405047
late,P3,D_corr,67.62017958149373,0.0010845452455822452
late,P3,D_iid,67.61931394550129,0.0018225955647594857
late,P3,G_C,0.9904384470857596,4.197756635854247e-06
late,P3,G_J,0.9904383246889864,4.1704583678881255e-06
late,degradation,G_C_delta_state,0.005825488123510285,0.00018148771990750718
late,degradation,G_C_delta_odd,0.0012531671721809727,0.00017755505738089328
late,degradation,G_C_delta_even,2.328949005129625e-07,4.481091350244439e-08
late,degradation,G_J_delta_state,0.001247645091621193,3.9443221580380036e-05
late,degradation,G_J_delta_odd,0.007781966076859881,3.691503400030561e-05
late,degradation,G_J_delta_even,2.831035198491705e-07,4.380323621669607e-08
late,bias_flat,output_bias_norm_corr,159132.4705295148,215.13543394254415
late,bias_flat,output_bias_norm_iid,159180.23083085573,215.56682517510944
late,bias_flat,bias_endpoint_error_corr,112.28085343572683,0.40954311175329045
late,bias_flat,bias_endpoint_error_iid,112.32657202033037,0.4092707688574396
late,bias_flat,raw_private_clean_gap_endpoint_corr,112.35663725761651,0.4099466795417126
late,bias_flat,raw_private_clean_gap_endpoint_iid,120.00703731065566,0.3776023418263513
late,bias_flat,raw_private_clean_response_norm_corr,227740.89801738682,147.79852729107478
late,bias_flat,raw_private_clean_response_norm_iid,227782.66118406536,145.22426894779048
late,bias_flat,probe_disagreement_norm_corr,0.5083217611126237,0.011362310286537631
late,bias_flat,probe_disagreement_norm_iid,0.34103408371837945,0.004309450175901048
late,bias_flat,probe_disagreement_relative_to_bias_corr,0.001311965440605799,3.869116317080389e-05
late,bias_flat,probe_disagreement_relative_to_bias_iid,0.0008513112998349207,1.2794638517351717e-05
late,bias_flat,probe_disagreement_endpoint_corr,0.010533017366912964,0.00032904784135655334
late,bias_flat,probe_disagreement_endpoint_iid,0.0068385982209183795,0.00011182019629282311
late,bias_flat,probe_error_to_P3_D_corr,4.102762599048791e-07,2.475927864789096e-08
late,bias_flat,probe_error_to_P3_D_iid,1.7287237917568386e-07,5.468098651371625e-09
late,bias_flat,probe_error_to_P3_endpoint_corr,0.0012753951294390143,3.9766201386072666e-05
late,bias_flat,probe_error_to_P3_endpoint_iid,8.097022026044476e-05,1.3027616094792953e-06
late,bias_flat,P3_reliable_corr,1.0,0.0
late,bias_flat,P3_reliable_iid,1.0,0.0
late,bias_flat,P3_reliable_paired,1.0,0.0
late,bias_flat,clean_pre_q_norm_min,0.00010932311852229759,8.244139396599264e-06
late,bias_flat,global_noise_signal_ratio_mean_corr,782.2263170585405,13.423107367127782
late,bias_flat,global_noise_signal_ratio_mean_iid,1690.1285336389565,29.052939712608453
late,bias_flat,block_noise_signal_ratio_mean_corr,1174.0913143434389,13.936967410954516
late,bias_flat,block_noise_signal_ratio_mean_iid,2536.7563596239274,30.230292756807348
late,bias_flat,block_noise_signal_ratio_max_corr,3181.275532259864,30.507063304153736
late,bias_flat,block_noise_signal_ratio_max_iid,6875.27280810422,70.67606785673406
late,paired_reliability,paired_reliable_seed_count,3,0.0
late,paired_reliability,paired_reliable_fraction,1.0,0.0
late,stage_corr_linear,J,0.029126813666813328,1.3118167969960198e-05
late,stage_corr_linear,D,0.37508745844972974,9.999929002296344e-06
late,stage_corr_linear,C,0.07765339239459539,3.425152763928591e-05
late,stage_corr_linear,G_C,0.9975173352765454,1.58840779678265e-06
late,stage_corr_linear,G_J,0.999468218961029,2.8043388710672673e-07
late,stage_corr_norm,J,0.033450742769768234,1.5343585608106968e-05
late,stage_corr_norm,D,0.4307315292089058,9.019285882242366e-08
late,stage_corr_norm,C,0.07766030695066761,3.563676601966513e-05
late,stage_corr_norm,G_C,0.9975172387233099,1.0617740879769473e-06
late,stage_corr_norm,G_J,0.9975172439036966,1.061868074172106e-06
late,stage_corr_ns,J,17.05071435368907,0.005119779120463543
late,stage_corr_ns,D,67.61965664425448,0.0010544974624946458
late,stage_corr_ns,C,0.2521561809406339,7.724080490834604e-05
late,stage_corr_ns,G_C,0.9904386799804064,4.1765611313910265e-06
late,stage_corr_ns,G_J,0.9904386077923091,4.139606612277942e-06
late,stage_corr_scale,J,17.050714353173117,0.005119779758196513
late,stage_corr_scale,D,67.61965664413019,0.0010544972644685716
late,stage_corr_scale,C,0.252156180933467,7.724081329983709e-05
late,stage_corr_scale,G_C,0.990438679980595,4.176561496438819e-06
late,stage_corr_scale,G_J,0.9904386077924768,4.139606965461628e-06
late,stage_iid_linear,J,54.77219999855981,0.030567740695705312
late,stage_iid_linear,D,1.751127443505793,0.0003285429684206536
late,stage_iid_linear,C,31.278249317625924,0.017646642045648257
late,stage_iid_linear,G_C,0.9975173352765454,1.58840779678265e-06
late,stage_iid_linear,G_J,0.999468218961029,2.8043388710672673e-07
late,stage_iid_norm,J,13.473230813757,0.0075240243915652575
late,stage_iid_norm,D,0.4307324279551287,1.9442618295516555e-08
late,stage_iid_norm,C,31.27981535528035,0.01746929352315256
late,stage_iid_norm,G_C,0.9975172387233099,1.0617740879769473e-06
late,stage_iid_norm,G_J,0.9975172439036966,1.061868074172106e-06
late,stage_iid_ns,J,1783.2880575371503,0.9552968552870987
late,stage_iid_ns,D,67.61914605406778,0.0018355969496164763
late,stage_iid_ns,C,26.372531517692156,0.014231985756632056
late,stage_iid_ns,G_C,0.9904386799804064,4.1765611313910265e-06
late,stage_iid_ns,G_J,0.9904386077923091,4.139606612277942e-06
late,stage_iid_scale,J,1783.288057514463,0.9552968578777018
late,stage_iid_scale,D,67.61914605379492,0.0018355966338690038
late,stage_iid_scale,C,26.372531517463056,0.014231985778370244
late,stage_iid_scale,G_C,0.990438679980595,4.176561496438819e-06
late,stage_iid_scale,G_J,0.9904386077924768,4.139606965461628e-06
full,P0,C_corr,0.06996666135107373,1.4376314926806857e-05
full,P0,C_iid,31.493002830257765,0.013535299539021264
full,P0,J_corr,0.03271417460009448,5.695971490825562e-06
full,P0,J_iid,67.72012308505467,0.02351823277926139
full,P0,D_corr,0.4675680403910614,1.4663353389228782e-05
full,P0,D_iid,2.1503229088484317,0.0004347653302269132
full,P0,G_C,0.9977783424915371,5.686701648519979e-07
full,P0,G_J,0.9995169208955951,1.3291584340165528e-07
full,P1,C_corr,0.20959067333318837,0.0032484679068291848
full,P1,C_iid,25.355012595557344,0.07638275578140025
full,P1,J_corr,4941965057.277387,202473631.25708303
full,P1,J_iid,2764218598989.86,164107962789.90265
full,P1,D_corr,23592712356.860058,1335777284.9018388
full,P1,D_iid,109008410489.71284,6137335958.524678
full,P1,G_C,0.9917334641499634,0.00015169376143205266
full,P1,G_J,0.9982108981596091,3.2398081745649594e-05
full,P2,C_corr,0.24594228801910578,0.00011382043705505612
full,P2,C_iid,26.34762152336879,0.0057317189605636315
full,P2,J_corr,20.735939639977616,0.00917734898298462
full,P2,J_iid,2221.4267690903866,0.5033858951893448
full,P2,D_corr,84.31221786455433,0.0017797400954134741
full,P2,D_iid,84.31223154066275,0.001734284849652974
full,P2,G_C,0.9906654844453348,3.0234994943431843e-06
full,P2,G_J,0.9906654859619907,3.012161307022724e-06
full,P3,C_corr,0.24595327183528878,0.00011307684840129434
full,P3,C_iid,26.34749399622059,0.005720020043497325
full,P3,J_corr,20.73718889241619,0.009103143202464695
full,P3,J_iid,2221.4253945394103,0.5059527441767894
full,P3,D_corr,84.31353187524256,0.0018163057594894
full,P3,D_iid,84.31258743975367,0.0018234342620643542
full,P3,G_C,0.9906650223791097,2.9976095954200776e-06
full,P3,G_J,0.9906649178163939,2.9792427317861e-06
full,degradation,G_C_delta_state,0.006044878341573671,0.00015177732254969352
full,degradation,G_C_delta_odd,0.0010679797046286854,0.00015448954848822744
full,degradation,G_C_delta_even,4.6206622494882055e-07,2.596717188312118e-08
full,degradation,G_J_delta_state,0.0013060227359861232,3.232878218511018e-05
full,degradation,G_J_delta_odd,0.007545412197618284,3.530636772259185e-05
full,degradation,G_J_delta_even,5.681455966799476e-07,3.8149221100585415e-08
full,bias_flat,output_bias_norm_corr,198774.35850186017,258.6070076891452
full,bias_flat,output_bias_norm_iid,198852.2083789818,258.9953047550577
full,bias_flat,bias_endpoint_error_corr,128.1278291875344,0.9184252909500261
full,bias_flat,bias_endpoint_error_iid,128.19464806930839,0.9177284617599896
full,bias_flat,raw_private_clean_gap_endpoint_corr,128.20884515302632,0.9210605091898855
full,bias_flat,raw_private_clean_gap_endpoint_iid,136.59422706643105,0.8634087772259479
full,bias_flat,raw_private_clean_response_norm_corr,284353.97886900586,177.3639868155836
full,bias_flat,raw_private_clean_response_norm_iid,284422.3380514661,175.03631351370632
full,bias_flat,probe_disagreement_norm_corr,0.6695556961354235,0.013479672986885608
full,bias_flat,probe_disagreement_norm_iid,0.4093305131510275,0.005270669807298598
