epsilon,step,layer,index,clean,dp
3,32,blocks/0/attention/query/kernel,122,3.33922365314265335e-08,8.52537155151367188e-03
3,32,blocks/0/attention/query/kernel,123,2.97038766916557506e-08,8.44625383615493774e-03
3,32,blocks/0/attention/query/kernel,124,2.81252194866965510e-08,8.36832262575626373e-03
3,32,blocks/0/attention/query/kernel,125,2.69225211013690569e-08,8.12287535518407822e-03
3,32,blocks/0/attention/query/kernel,126,2.58436685385277087e-08,8.05919710546731949e-03
3,32,blocks/0/attention/query/kernel,127,2.44990108200227041e-08,8.03358014672994614e-03
3,32,blocks/0/attention/query/kernel,128,2.28097736254539996e-08,7.85714201629161835e-03
3,32,blocks/0/attention/query/kernel,129,2.18719460320926373e-08,7.68697215244174004e-03
3,32,blocks/0/attention/query/kernel,130,2.10543209533398112e-08,7.56205711513757706e-03
3,32,blocks/0/attention/query/kernel,131,1.95704039640531846e-08,7.45846284553408623e-03
3,32,blocks/0/attention/query/kernel,132,1.91562872231543224e-08,7.31399189680814743e-03
3,32,blocks/0/attention/query/kernel,133,1.71102136903300561e-08,7.08546489477157593e-03
3,32,blocks/0/attention/query/kernel,134,1.67992677546635605e-08,6.99569052085280418e-03
3,32,blocks/0/attention/query/kernel,135,1.59052575554596842e-08,6.78265327587723732e-03
3,32,blocks/0/attention/query/kernel,136,1.46206682316574188e-08,6.65042502805590630e-03
3,32,blocks/0/attention/query/kernel,137,1.32352813153602256e-08,6.57369149848818779e-03
3,32,blocks/0/attention/query/kernel,138,1.24129950762608132e-08,6.55048899352550507e-03
3,32,blocks/0/attention/query/kernel,139,1.20433147898779680e-08,6.31101708859205246e-03
3,32,blocks/0/attention/query/kernel,140,1.14327720623919049e-08,6.21336512267589569e-03
3,32,blocks/0/attention/query/kernel,141,1.11047651074613896e-08,6.10380386933684349e-03
3,32,blocks/0/attention/query/kernel,142,1.03749613344916725e-08,5.96376135945320129e-03
3,32,blocks/0/attention/query/kernel,143,1.00902379784884033e-08,5.89355593547224998e-03
3,32,blocks/0/attention/query/kernel,144,9.50906997587708247e-09,5.82747487351298332e-03
3,32,blocks/0/attention/query/kernel,145,8.95083385188399916e-09,5.73136983439326286e-03
3,32,blocks/0/attention/query/kernel,146,8.44546477196672640e-09,5.51686948165297508e-03
3,32,blocks/0/attention/query/kernel,147,8.14544787175464080e-09,5.43424580246210098e-03
3,32,blocks/0/attention/query/kernel,148,7.52088880062729004e-09,5.22886076942086220e-03
3,32,blocks/0/attention/query/kernel,149,6.84205048173680552e-09,5.12692658230662346e-03
3,32,blocks/0/attention/query/kernel,150,6.43078523765439058e-09,4.97813709080219269e-03
3,32,blocks/0/attention/query/kernel,151,5.84565684746962688e-09,4.86783357337117195e-03
3,32,blocks/0/attention/query/kernel,152,5.52491608019067826e-09,4.68881754204630852e-03
3,32,blocks/0/attention/query/kernel,153,5.02619679210170034e-09,4.62135393172502518e-03
3,32,blocks/0/attention/query/kernel,154,4.60154536696677496e-09,4.51918737962841988e-03
3,32,blocks/0/attention/query/kernel,155,4.39297309640096501e-09,4.47722850367426872e-03
3,32,blocks/0/attention/query/kernel,156,4.01767019653220814e-09,4.22595487907528877e-03
3,32,blocks/0/attention/query/kernel,157,3.63228513933222530e-09,4.18637227267026901e-03
3,32,blocks/0/attention/query/kernel,158,3.46246586957477120e-09,4.14343411102890968e-03
3,32,blocks/0/attention/query/kernel,159,3.35852501365252465e-09,3.86626250110566616e-03
3,32,blocks/0/attention/query/kernel,160,2.98934721421062477e-09,3.64178372547030449e-03
3,32,blocks/0/attention/query/kernel,161,2.66740496357442680e-09,3.61762335523962975e-03
3,32,blocks/0/attention/query/kernel,162,2.37134356595447571e-09,3.58173926360905170e-03
3,32,blocks/0/attention/query/kernel,163,2.20687090823901144e-09,3.37711116299033165e-03
3,32,blocks/0/attention/query/kernel,164,1.86590431994204664e-09,3.26928705908358097e-03
3,32,blocks/0/attention/query/kernel,165,1.55358348408185520e-09,3.19238612428307533e-03
3,32,blocks/0/attention/query/kernel,166,1.42885636655876169e-09,3.10793914832174778e-03
3,32,blocks/0/attention/query/kernel,167,1.38439493202469066e-09,2.91240075603127480e-03
3,32,blocks/0/attention/query/kernel,168,9.69628488611817829e-10,2.81592900864779949e-03
3,32,blocks/0/attention/query/kernel,169,7.95231547279229289e-10,2.74135498329997063e-03
3,32,blocks/0/attention/query/kernel,170,7.33840543887254171e-10,2.52720084972679615e-03
3,32,blocks/0/attention/query/kernel,171,4.98990793129650001e-10,2.45056115090847015e-03
3,32,blocks/0/attention/query/kernel,172,4.93813767654671665e-10,2.35281162895262241e-03
3,32,blocks/0/attention/query/kernel,173,3.61719987296282852e-10,2.32885126024484634e-03
3,32,blocks/0/attention/query/kernel,174,2.64435418007025191e-10,2.17680167406797409e-03
3,32,blocks/0/attention/query/kernel,175,2.12624390316662470e-10,2.14170478284358978e-03
3,32,blocks/0/attention/query/kernel,176,1.99683811152873147e-10,2.06730840727686882e-03
3,32,blocks/0/attention/query/kernel,177,1.31751193288565105e-10,1.91880983766168356e-03
3,32,blocks/0/attention/query/kernel,178,1.11681969228172306e-10,1.69037654995918274e-03
3,32,blocks/0/attention/query/kernel,179,9.54027828958814439e-11,1.60883681382983923e-03
3,32,blocks/0/attention/query/kernel,180,6.95841925746343293e-11,1.48125202395021915e-03
3,32,blocks/0/attention/query/kernel,181,4.02776700880735916e-11,1.32927426602691412e-03
3,32,blocks/0/attention/query/kernel,182,3.41796868585930724e-11,1.26839743461459875e-03
3,32,blocks/0/attention/query/kernel,183,2.84618301149563990e-11,1.11167144495993853e-03
3,32,blocks/0/attention/query/kernel,184,2.34582804570226955e-11,1.05647486634552479e-03
3,32,blocks/0/attention/query/kernel,185,2.04070284975932381e-11,8.59985535498708487e-04
3,32,blocks/0/attention/query/kernel,186,1.84985499140921661e-11,7.45777681004256010e-04
3,32,blocks/0/attention/query/kernel,187,1.04133038997256122e-11,6.39238860458135605e-04
3,32,blocks/0/attention/query/kernel,188,7.85026210703421157e-12,5.32842241227626801e-04
3,32,blocks/0/attention/query/kernel,189,6.83368509349358000e-12,3.87757027056068182e-04
3,32,blocks/0/attention/query/kernel,190,2.83739611667277458e-12,2.95521080261096358e-04
3,32,blocks/0/attention/query/kernel,191,2.42792548219017412e-12,1.69618549989536405e-04
3,32,blocks/0/attention/query/kernel,192,9.87625440956006739e-14,1.11701760033611208e-04
3,32,blocks/5/attention/query/kernel,1,2.11664650123566389e-04,2.88255345076322556e-02
3,32,blocks/5/attention/query/kernel,2,2.01878778170794249e-04,2.85884458571672440e-02
3,32,blocks/5/attention/query/kernel,3,1.47080048918724060e-04,2.77668181806802750e-02
3,32,blocks/5/attention/query/kernel,4,1.14800706796813756e-04,2.69764438271522522e-02
3,32,blocks/5/attention/query/kernel,5,9.53921335167251527e-05,2.66899894922971725e-02
3,32,blocks/5/attention/query/kernel,6,7.89400510257110000e-05,2.63700354844331741e-02
3,32,blocks/5/attention/query/kernel,7,7.29412058717571199e-05,2.59573217481374741e-02
3,32,blocks/5/attention/query/kernel,8,6.58948556520044804e-05,2.55470070987939835e-02
3,32,blocks/5/attention/query/kernel,9,6.23293017270043492e-05,2.53691859543323517e-02
3,32,blocks/5/attention/query/kernel,10,5.79104562348220497e-05,2.50900462269783020e-02
3,32,blocks/5/attention/query/kernel,11,5.19653585797641426e-05,2.50237490981817245e-02
3,32,blocks/5/attention/query/kernel,12,4.91411410621367395e-05,2.47216131538152695e-02
3,32,blocks/5/attention/query/kernel,13,4.42190175817813724e-05,2.45497338473796844e-02
3,32,blocks/5/attention/query/kernel,14,4.14765490859281272e-05,2.43794508278369904e-02
3,32,blocks/5/attention/query/kernel,15,3.96220420952886343e-05,2.41918880492448807e-02
3,32,blocks/5/attention/query/kernel,16,3.86726896977052093e-05,2.39396598190069199e-02
3,32,blocks/5/attention/query/kernel,17,3.61771453754045069e-05,2.37115602940320969e-02
3,32,blocks/5/attention/query/kernel,18,3.31427145283669233e-05,2.35593002289533615e-02
3,32,blocks/5/attention/query/kernel,19,3.15049001073930413e-05,2.35373731702566147e-02
3,32,blocks/5/attention/query/kernel,20,3.02177249977830797e-05,2.30909027159214020e-02
3,32,blocks/5/attention/query/kernel,21,2.85347323369933292e-05,2.29751095175743103e-02
3,32,blocks/5/attention/query/kernel,22,2.76513346761930734e-05,2.25754454731941223e-02
3,32,blocks/5/attention/query/kernel,23,2.60964079643599689e-05,2.24574282765388489e-02
3,32,blocks/5/attention/query/kernel,24,2.36423602473223582e-05,2.23697535693645477e-02
3,32,blocks/5/attention/query/kernel,25,2.27881300816079602e-05,2.23073922097682953e-02
3,32,blocks/5/attention/query/kernel,26,2.17057058762293309e-05,2.20608599483966827e-02
3,32,blocks/5/attention/query/kernel,27,2.08761321118799970e-05,2.18345914036035538e-02
3,32,blocks/5/attention/query/kernel,28,2.08130004466511309e-05,2.16746684163808823e-02
3,32,blocks/5/attention/query/kernel,29,1.97178051166702062e-05,2.15206183493137360e-02
3,32,blocks/5/attention/query/kernel,30,1.90548071259399876e-05,2.14741602540016174e-02
3,32,blocks/5/attention/query/kernel,31,1.80021797859808430e-05,2.13791932910680771e-02
3,32,blocks/5/attention/query/kernel,32,1.73341959452955052e-05,2.12748423218727112e-02
3,32,blocks/5/attention/query/kernel,33,1.64066386787453666e-05,2.09249462932348251e-02
3,32,blocks/5/attention/query/kernel,34,1.61324023792985827e-05,2.07996182143688202e-02
3,32,blocks/5/attention/query/kernel,35,1.59467072080587968e-05,2.04879753291606903e-02
3,32,blocks/5/attention/query/kernel,36,1.54967037815367803e-05,2.03758403658866882e-02
3,32,blocks/5/attention/query/kernel,37,1.45950898513547145e-05,2.02975124120712280e-02
3,32,blocks/5/attention/query/kernel,38,1.41446471388917416e-05,2.00403854250907898e-02
3,32,blocks/5/attention/query/kernel,39,1.39782159749302082e-05,1.99601817876100540e-02
3,32,blocks/5/attention/query/kernel,40,1.32449622469721362e-05,1.96816660463809967e-02
3,32,blocks/5/attention/query/kernel,41,1.31212964333826676e-05,1.96195263415575027e-02
3,32,blocks/5/attention/query/kernel,42,1.27844341477612033e-05,1.95230152457952499e-02
3,32,blocks/5/attention/query/kernel,43,1.23871068353764713e-05,1.93594582378864288e-02
3,32,blocks/5/attention/query/kernel,44,1.21386819955660030e-05,1.92052684724330902e-02
3,32,blocks/5/attention/query/kernel,45,1.14965068860328756e-05,1.90985556691884995e-02
3,32,blocks/5/attention/query/kernel,46,1.14126569314976223e-05,1.89886894077062607e-02
3,32,blocks/5/attention/query/kernel,47,1.10655219032196328e-05,1.88861191272735596e-02
3,32,blocks/5/attention/query/kernel,48,1.06225852505303919e-05,1.86390392482280731e-02
3,32,blocks/5/attention/query/kernel,49,1.02670528576709330e-05,1.84806305915117264e-02
3,32,blocks/5/attention/query/kernel,50,1.00934366855653934e-05,1.83510240167379379e-02
3,32,blocks/5/attention/query/kernel,51,9.90149328572442755e-06,1.80995725095272064e-02
3,32,blocks/5/attention/query/kernel,52,9.74786053120624274e-06,1.80044118314981461e-02
3,32,blocks/5/attention/query/kernel,53,9.34291256271535531e-06,1.78284458816051483e-02
3,32,blocks/5/attention/query/kernel,54,9.12075938686029986e-06,1.76126621663570404e-02
3,32,blocks/5/attention/query/kernel,55,8.83751727087656036e-06,1.75400171428918839e-02
3,32,blocks/5/attention/query/kernel,56,8.60325872054090723e-06,1.73240303993225098e-02
3,32,blocks/5/attention/query/kernel,57,8.32457135402364656e-06,1.72632765024900436e-02
3,32,blocks/5/attention/query/kernel,58,8.13134556665318087e-06,1.71055924147367477e-02
3,32,blocks/5/attention/query/kernel,59,8.05909348855493590e-06,1.70032102614641190e-02
3,32,blocks/5/attention/query/kernel,60,7.74357340560527518e-06,1.67536586523056030e-02
3,32,blocks/5/attention/query/kernel,61,7.46670139051275328e-06,1.65187884122133255e-02
3,32,blocks/5/attention/query/kernel,62,7.26805410522501916e-06,1.64703279733657837e-02
3,32,blocks/5/attention/query/kernel,63,7.20453681424260139e-06,1.63045115768909454e-02
3,32,blocks/5/attention/query/kernel,64,6.96681718181935139e-06,1.62041839212179184e-02
3,32,blocks/5/attention/query/kernel,65,6.82909512761398219e-06,1.60681623965501785e-02
3,32,blocks/5/attention/query/kernel,66,6.77299613016657531e-06,1.59711111336946487e-02
3,32,blocks/5/attention/query/kernel,67,6.72726355332997628e-06,1.58880390226840973e-02
3,32,blocks/5/attention/query/kernel,68,6.60757223158725537e-06,1.57802589237689972e-02
3,32,blocks/5/attention/query/kernel,69,6.54383256915025413e-06,1.55598092824220657e-02
3,32,blocks/5/attention/query/kernel,70,6.24454241915373132e-06,1.53193976730108261e-02
3,32,blocks/5/attention/query/kernel,71,6.09855442235129885e-06,1.51084586977958679e-02
3,32,blocks/5/attention/query/kernel,72,5.97467396801221184e-06,1.50004345923662186e-02
3,32,blocks/5/attention/query/kernel,73,5.96266181673854589e-06,1.48980962112545967e-02
3,32,blocks/5/attention/query/kernel,74,5.72176850255345926e-06,1.48421255871653557e-02
3,32,blocks/5/attention/query/kernel,75,5.68617224416811951e-06,1.46084763109683990e-02
3,32,blocks/5/attention/query/kernel,76,5.53580366613459773e-06,1.44692771136760712e-02
3,32,blocks/5/attention/query/kernel,77,5.42585894436342642e-06,1.44637115299701691e-02
3,32,blocks/5/attention/query/kernel,78,5.32719423063099384e-06,1.43791139125823975e-02
3,32,blocks/5/attention/query/kernel,79,5.19134755450068042e-06,1.41917150467634201e-02
3,32,blocks/5/attention/query/kernel,80,5.06050309923011810e-06,1.41307227313518524e-02
3,32,blocks/5/attention/query/kernel,81,4.97439395985566080e-06,1.39071112498641014e-02
3,32,blocks/5/attention/query/kernel,82,4.92630533699411899e-06,1.36258555576205254e-02
3,32,blocks/5/attention/query/kernel,83,4.81523511552950367e-06,1.35359438136219978e-02
3,32,blocks/5/attention/query/kernel,84,4.76237983093596995e-06,1.33517943322658539e-02
3,32,blocks/5/attention/query/kernel,85,4.69243832412757911e-06,1.32535956799983978e-02
3,32,blocks/5/attention/query/kernel,86,4.54250630355090834e-06,1.31288757547736168e-02
3,32,blocks/5/attention/query/kernel,87,4.45870136900339276e-06,1.29059171304106712e-02
3,32,blocks/5/attention/query/kernel,88,4.37562994193285704e-06,1.27866333350539207e-02
3,32,blocks/5/attention/query/kernel,89,4.33258310295059346e-06,1.26364519819617271e-02
3,32,blocks/5/attention/query/kernel,90,4.22776429331861436e-06,1.25105977058410645e-02
3,32,blocks/5/attention/query/kernel,91,4.07902643928537145e-06,1.23992143198847771e-02
3,32,blocks/5/attention/query/kernel,92,3.98230758946738206e-06,1.22266495600342751e-02
3,32,blocks/5/attention/query/kernel,93,3.96583436668151990e-06,1.21767027303576469e-02
3,32,blocks/5/attention/query/kernel,94,3.92791480408050120e-06,1.21391555294394493e-02
3,32,blocks/5/attention/query/kernel,95,3.87481895813834853e-06,1.19599290192127228e-02
3,32,blocks/5/attention/query/kernel,96,3.79943730877130292e-06,1.17910336703062057e-02
3,32,blocks/5/attention/query/kernel,97,3.70626162293774541e-06,1.16368504241108894e-02
3,32,blocks/5/attention/query/kernel,98,3.57805834028113168e-06,1.16335293278098106e-02
3,32,blocks/5/attention/query/kernel,99,3.52383995050331578e-06,1.14979213103652000e-02
3,32,blocks/5/attention/query/kernel,100,3.51675566889753100e-06,1.14048309624195099e-02
3,32,blocks/5/attention/query/kernel,101,3.42955013366008643e-06,1.12941628322005272e-02
3,32,blocks/5/attention/query/kernel,102,3.39169628205127083e-06,1.11055541783571243e-02
3,32,blocks/5/attention/query/kernel,103,3.33543880515208002e-06,1.10466247424483299e-02
3,32,blocks/5/attention/query/kernel,104,3.23321683026733808e-06,1.08440397307276726e-02
3,32,blocks/5/attention/query/kernel,105,3.19051059705088846e-06,1.06699941679835320e-02
3,32,blocks/5/attention/query/kernel,106,3.14638668896805029e-06,1.06031661853194237e-02
3,32,blocks/5/attention/query/kernel,107,3.12003430735785514e-06,1.04878535494208336e-02
3,32,blocks/5/attention/query/kernel,108,3.07144841826811898e-06,1.03247240185737610e-02
3,32,blocks/5/attention/query/kernel,109,2.99882503895787522e-06,1.02083878591656685e-02
3,32,blocks/5/attention/query/kernel,110,2.97841916108154692e-06,1.00396163761615753e-02
3,32,blocks/5/attention/query/kernel,111,2.92601248474966269e-06,9.80595778673887253e-03
3,32,blocks/5/attention/query/kernel,112,2.85665146293467842e-06,9.67540964484214783e-03
3,32,blocks/5/attention/query/kernel,113,2.85071200778475031e-06,9.59622301161289215e-03
3,32,blocks/5/attention/query/kernel,114,2.70702616944618057e-06,9.46562364697456360e-03
3,32,blocks/5/attention/query/kernel,115,2.66423853645392228e-06,9.39677376300096512e-03
3,32,blocks/5/attention/query/kernel,116,2.62818889495974872e-06,9.29376296699047089e-03
3,32,blocks/5/attention/query/kernel,117,2.61157515524246264e-06,9.18288994580507278e-03
3,32,blocks/5/attention/query/kernel,118,2.53467442234978080e-06,8.96769389510154724e-03
